contig	length	gc_perc	cds_coding_density
NODE_1_length_48799_cov_5.520556	48799	32.87	87.33
NODE_10_length_21507_cov_3.191404	21507	55.76	89.41
NODE_48_length_11540_cov_2.652503	11540	40.26	92.73
NODE_60_length_10226_cov_5.480877	10226	44.79	78.03
NODE_164_length_6684_cov_2.145572	6684	46.14	93.19
NODE_230_length_5704_cov_5.573199	5704	54.91	90.25
NODE_242_length_5524_cov_2.650393	5524	37.44	76.57
