### Top 5 hits for each virus with each method used
### Score 1 / Score 2 columns correpond respectively to:
### For blast hits => Total number of matches in hsps / Average percentage of identity across the full alignment
### For crispr hits => Number of mismatches / Length of CRISPR spacer
### For WIsH => Log-likelihood / P-value
### For VirHostMatcher => s2 similarity/ NA
### For PHP => PHP score/ NA
### For RaFAH => Confidence score / estimated FDR
### For iPHoP-RF => Confidence score / estimated FDR
Virus,Method,Host,Host taxonomy,Metric 1,Score 1,Metric 2,Score 2,Rank,Host representative
NODE_10_length_21507_cov_3.191404,blast,GCF_004367745.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Herbaspirillum;s__Herbaspirillum huttiense,Match_length,20103.000,Id_pcent,100.0,1,RS_GCF_004367745.1
NODE_10_length_21507_cov_3.191404,blast,GCF_004367745.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Herbaspirillum;s__Herbaspirillum huttiense,Match_length,20103.000,Id_pcent,100.0,1,RS_GCF_004367745.1
NODE_10_length_21507_cov_3.191404,blast,2551306420,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Herbaspirillum;s__Herbaspirillum huttiense,Match_length,9571.000,Id_pcent,86.46,2,RS_GCF_004367745.1
NODE_10_length_21507_cov_3.191404,blast,3300025225_4,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Herbaspirillum;s__,Match_length,8656.000,Id_pcent,83.56,3,3300025225_4
NODE_10_length_21507_cov_3.191404,blast,GCF_002213415.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Herbaspirillum;s__Herbaspirillum robiniae,Match_length,8170.000,Id_pcent,83.9,4,RS_GCF_002213415.1
NODE_10_length_21507_cov_3.191404,iPHoP-RF,RS_GCF_001584165.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Collimonas;s__Collimonas arenae,Confidence_score,0.904,FDR,0.181,1,RS_GCF_001584165.1
NODE_10_length_21507_cov_3.191404,iPHoP-RF,RS_GCF_000300975.2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Herbaspirillum;s__Herbaspirillum frisingense,Confidence_score,0.838,FDR,0.261,2,RS_GCF_000300975.2
NODE_10_length_21507_cov_3.191404,iPHoP-RF,GB_GCA_001770855.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__MESE01;s__MESE01 sp001770855,Confidence_score,0.812,FDR,0.289,3,GB_GCA_001770855.1
NODE_10_length_21507_cov_3.191404,iPHoP-RF,3300025225_4,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Herbaspirillum;s__,Confidence_score,0.806,FDR,0.296,4,3300025225_4
NODE_10_length_21507_cov_3.191404,iPHoP-RF,3300024953_4,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Noviherbaspirillum;s__,Confidence_score,0.804,FDR,0.298,5,3300024953_4
NODE_10_length_21507_cov_3.191404,php,GCA_014642815.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dyella;s__Dyella caseinilytica,Score,1451.904,NA,NA,1,GB_GCA_014642815.1
NODE_10_length_21507_cov_3.191404,php,GCF_014205795.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Rhodanobacter;s__Rhodanobacter sp014205795,Score,1451.724,NA,NA,2,RS_GCF_014205795.1
NODE_10_length_21507_cov_3.191404,php,GCA_900299005.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__SYFN01;s__SYFN01 sp900299005,Score,1451.646,NA,NA,3,GB_GCA_900299005.1
NODE_10_length_21507_cov_3.191404,php,GCF_003977665.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dyella;s__Dyella sp003977665,Score,1451.338,NA,NA,4,RS_GCF_003977665.1
NODE_10_length_21507_cov_3.191404,php,3300005286_32,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__;s__,Score,1451.267,NA,NA,5,3300005286_32
NODE_10_length_21507_cov_3.191404,rafah,Pseudomonas,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas,Confidence_score,0.328,FDR,0.491,1,NA
NODE_10_length_21507_cov_3.191404,rafah,Pseudomonas,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E,Confidence_score,0.328,FDR,0.491,1,NA
NODE_10_length_21507_cov_3.191404,rafah,Marinobacter,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter,Confidence_score,0.084,FDR,0.927,2,NA
NODE_10_length_21507_cov_3.191404,rafah,Streptococcus,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,Confidence_score,0.061,FDR,0.95,3,NA
NODE_10_length_21507_cov_3.191404,rafah,Xanthomonas,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas,Confidence_score,0.049,FDR,0.962,4,NA
NODE_10_length_21507_cov_3.191404,vhm,GCF_002257565.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Herbaspirillum;s__Herbaspirillum sp002257565,S2star_similarity,0.394,NA,NA,1,RS_GCF_002257565.1
NODE_10_length_21507_cov_3.191404,vhm,3300024953_4,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Noviherbaspirillum;s__,S2star_similarity,0.390,NA,NA,2,3300024953_4
NODE_10_length_21507_cov_3.191404,vhm,GCF_003591035.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Noviherbaspirillum;s__Noviherbaspirillum sp003591035,S2star_similarity,0.385,NA,NA,3,RS_GCF_003591035.1
NODE_10_length_21507_cov_3.191404,vhm,GCF_001428545.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Noviherbaspirillum;s__Noviherbaspirillum sp001428545,S2star_similarity,0.384,NA,NA,4,RS_GCF_001428545.1
NODE_10_length_21507_cov_3.191404,vhm,GCF_014192645.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Herbaspirillum;s__Herbaspirillum sp014192645,S2star_similarity,0.384,NA,NA,5,RS_GCF_014192645.1
